"---"
"Dataset: Underlying Cause of Death, 2018-2021, Single Race"
"Query Parameters:"
"Title: trafficdeaths10yrs"
"ICD-10 Codes: V01-V99 (Transport accidents)"
"Group By: Cause of death; Ten-Year Age Groups"
"Show Totals: Disabled"
"Show Zero Values: False"
"Show Suppressed: False"
"Calculate Rates Per: 100,000"
"Rate Options: Default intercensal populations for years 2001-2009 (except Infant Age Groups)"
"---"
"Help: See http://wonder.cdc.gov/wonder/help/ucd-expanded.html for more information."
"---"
"Query Date: Mar 8, 2023 7:13:30 PM"
"---"
"Suggested Citation: Centers for Disease Control and Prevention, National Center for Health Statistics. National Vital Statistics"
"System, Mortality 2018-2021 on CDC WONDER Online Database, released in 2021. Data are from the Multiple Cause of Death Files,"
"2018-2021, as compiled from data provided by the 57 vital statistics jurisdictions through the Vital Statistics Cooperative"
"Program. Accessed at http://wonder.cdc.gov/ucd-icd10-expanded.html on Mar 8, 2023 7:13:30 PM"
"---"
Messages:
"1. Totals are not available for these results due to suppression constraints. More Information:"
"http://wonder.cdc.gov/wonder/help/faq.html#Privacy."
"2. Rows with suppressed Deaths are hidden. Use Quick Options above to show suppressed rows."
"---"
Caveats:
"1. Data are Suppressed when the data meet the criteria for confidentiality constraints. More information:"
"http://wonder.cdc.gov/wonder/help/ucd-expanded.html#Assurance of Confidentiality."
"2. Death rates are flagged as Unreliable when the rate is calculated with a numerator of 20 or less. More information:"
"http://wonder.cdc.gov/wonder/help/ucd-expanded.html#Unreliable."
"3. Deaths of persons with Age ""Not Stated"" are included in ""All"" counts and rates, but are not distributed among age groups,"
"so are not included in age-specific counts, age-specific rates or in any age-adjusted rates. More information:"
"http://wonder.cdc.gov/wonder/help/ucd-expanded.html#Not Stated."
"4. The population figures for year 2021 are single-race estimates of the July 1 resident population, from the Vintage 2021"
"postcensal series released by the Census Bureau on June 30, 2022. The population figures for year 2020 are single-race estimates"
"of the July 1 resident population, from the Vintage 2020 postcensal series released by the Census Bureau on July 27, 2021. The"
"population figures for year 2019 are single-race estimates of the July 1 resident population, from the Vintage 2019 postcensal"
"series released by the Census Bureau on June 25, 2020. The population figures for year 2018 are single-race estimates of the"
"July 1 resident population, from the Vintage 2018 postcensal series released by the Census Bureau on June 20, 2019."
"5. The population figures used in the calculation of death rates for the age group 'under 1 year' are the estimates of the"
"resident population that is under one year of age. More information: http://wonder.cdc.gov/wonder/help/ucd-expanded.html#Age"
"Group."
"6. Beginning with the 2018 data, changes have been implemented that affect the counts for ICD-10 cause of death codes O00-O99"
"compared to previous practice. In addition, data for the cause of death codes O00-O99 for 2003 through 2017 reflect differences"
"in information available to individual states and probable errors. Caution should be used in interpreting these data. More"
"information can be found at: https://www.cdc.gov/nchs/maternal-mortality/."
"7. On March 11, 2021, the 2019 mortality data on CDC WONDER was updated with the 2019 mortality data updated by NCHS on March 4,"
"2021 to include corrected information for residents of Texas affecting 5 records previously coded to cause code *U01.4,"
"Terrorism involving firearms (homicide). The underlying and multiple cause of death codes for 5 records were corrected in the"
"2019 data. Underlying and multiple cause of death codes for those 5 records were recoded to Assault (homicide) by other and"
"unspecified firearm discharge, ICD-10 code X95. The corrected final death records replaces the data released on December 22,"
"2020."
"8. Changes to cause of death classification affect reporting trends. More information:"
"http://wonder.cdc.gov/wonder/help/ucd-expanded.html#ICD-10 Changes."
"Notes"	"Cause of death"	"Cause of death Code"	"Ten-Year Age Groups"	"Ten-Year Age Groups Code"	Deaths	Population	Crude Rate
	"Pedestrian injured in collision with two- or three-wheeled motor vehicle, traffic accident"	"V02.1"	"25-34 years"	"25-34"	21	183202846	0.0
	"Pedestrian injured in collision with two- or three-wheeled motor vehicle, traffic accident"	"V02.1"	"35-44 years"	"35-44"	27	168477078	0.0
	"Pedestrian injured in collision with two- or three-wheeled motor vehicle, traffic accident"	"V02.1"	"45-54 years"	"45-54"	18	163561170	Unreliable
	"Pedestrian injured in collision with two- or three-wheeled motor vehicle, traffic accident"	"V02.1"	"55-64 years"	"55-64"	30	169927914	0.0
	"Pedestrian injured in collision with two- or three-wheeled motor vehicle, traffic accident"	"V02.1"	"65-74 years"	"65-74"	21	128191269	0.0
	"Pedestrian injured in collision with two- or three-wheeled motor vehicle, traffic accident"	"V02.1"	"75-84 years"	"75-84"	15	64021868	Unreliable
	"Pedestrian injured in collision with car, pick-up truck or van, nontraffic accident"	"V03.0"	"1-4 years"	"1-4"	103	62584825	0.2
	"Pedestrian injured in collision with car, pick-up truck or van, nontraffic accident"	"V03.0"	"5-14 years"	"5-14"	23	164800798	0.0
	"Pedestrian injured in collision with car, pick-up truck or van, nontraffic accident"	"V03.0"	"15-24 years"	"15-24"	31	171302657	0.0
	"Pedestrian injured in collision with car, pick-up truck or van, nontraffic accident"	"V03.0"	"25-34 years"	"25-34"	47	183202846	0.0
	"Pedestrian injured in collision with car, pick-up truck or van, nontraffic accident"	"V03.0"	"35-44 years"	"35-44"	57	168477078	0.0
	"Pedestrian injured in collision with car, pick-up truck or van, nontraffic accident"	"V03.0"	"45-54 years"	"45-54"	59	163561170	0.0
	"Pedestrian injured in collision with car, pick-up truck or van, nontraffic accident"	"V03.0"	"55-64 years"	"55-64"	84	169927914	0.0
	"Pedestrian injured in collision with car, pick-up truck or van, nontraffic accident"	"V03.0"	"65-74 years"	"65-74"	119	128191269	0.1
	"Pedestrian injured in collision with car, pick-up truck or van, nontraffic accident"	"V03.0"	"75-84 years"	"75-84"	91	64021868	0.1
	"Pedestrian injured in collision with car, pick-up truck or van, nontraffic accident"	"V03.0"	"85+ years"	"85+"	61	25783637	0.2
	"Pedestrian injured in collision with car, pick-up truck or van, traffic accident"	"V03.1"	"1-4 years"	"1-4"	117	62584825	0.2
	"Pedestrian injured in collision with car, pick-up truck or van, traffic accident"	"V03.1"	"5-14 years"	"5-14"	207	164800798	0.1
	"Pedestrian injured in collision with car, pick-up truck or van, traffic accident"	"V03.1"	"15-24 years"	"15-24"	876	171302657	0.5
	"Pedestrian injured in collision with car, pick-up truck or van, traffic accident"	"V03.1"	"25-34 years"	"25-34"	1516	183202846	0.8
	"Pedestrian injured in collision with car, pick-up truck or van, traffic accident"	"V03.1"	"35-44 years"	"35-44"	1435	168477078	0.9
	"Pedestrian injured in collision with car, pick-up truck or van, traffic accident"	"V03.1"	"45-54 years"	"45-54"	1570	163561170	1.0
	"Pedestrian injured in collision with car, pick-up truck or van, traffic accident"	"V03.1"	"55-64 years"	"55-64"	1848	169927914	1.1
	"Pedestrian injured in collision with car, pick-up truck or van, traffic accident"	"V03.1"	"65-74 years"	"65-74"	1244	128191269	1.0
	"Pedestrian injured in collision with car, pick-up truck or van, traffic accident"	"V03.1"	"75-84 years"	"75-84"	716	64021868	1.1
	"Pedestrian injured in collision with car, pick-up truck or van, traffic accident"	"V03.1"	"85+ years"	"85+"	321	25783637	1.2
